identifier,title,introduction_date,earliest_action_date,matter_id,problem
A2023-0001212,Appointment of Annette Guzman as Budget Director,2023-06-21,2023-05-24,AAC16AEC-3610-EE11-8F6C-001DD806D641,introduction after other action
CL2023-0001225,Various small claims,2023-06-21,2023-06-14,CE717A72-4410-EE11-8F6C-001DD806D3F2,introduction after other action
CL2023-0003511,"Damage to property claim for Flores, Lissette",2023-07-19,2022-10-26,D08E5A0D-A845-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003517,"Damage to vehicle claim for Acosta, Maria L.",2023-07-19,2022-04-27,7E7AFF4A-AB45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003518,"Damage to vehicle claim for Zaki, Aldawoud",2023-07-19,2023-04-19,EFD53D00-AC45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003519,"Damage to vehicle - pothole claim for Anderson, Mark M.",2023-07-19,2023-04-19,DA13FEAE-AC45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003520,"Damage to vehicle - pothole claim for Andretich, Larry T.",2023-07-19,2023-04-19,EA821E4C-AD45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003521,"Damage to vehicle - pothole claim for Beech, Brian K.",2023-07-19,2023-04-19,723C64DC-AD45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003522,"Damage to vehicle claim for Calleja, Yaneli",2023-07-19,2022-10-26,6AA36890-AE45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003524,"Damage to vehicle - pothole claim for Cameron, Marion A.",2023-07-19,2022-05-23,70488186-AF45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003525,"Damage to vehicle - pothole claim for Carranza, Fernando",2023-07-19,2023-03-15,2CFC5F16-B045-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003526,"Damage to vehicle - pothole claim for Murillo, Luis",2023-07-19,2023-04-19,0C714952-B045-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003527,"Damage to vehicle - pothole claim for Cole, Jordyn M.",2023-07-19,2023-04-19,C0A22588-B045-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003528,"Damage to vehicle - pothole claim for Coll Pons, Pere",2023-07-19,2022-06-22,E4F6E4FF-B045-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003529,"Damage to vehicle - pothole claim for Neese, Travis",2023-07-19,2022-05-23,1F09E123-B145-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003530,"Damage to vehicle - pothole claim for Crutchfield, Paul R.",2023-07-19,2023-05-24,F338BF9B-B145-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003531,"Damage to vehicle - pothole claim for Mukherji, Gautam",2023-07-19,2023-05-24,CBBD88EF-B145-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003533,"Damage to vehicle - pothole claim for Daniels, Jharmaine N.",2023-07-19,2023-04-19,2AC98B2B-B245-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003534,"Damage to vehicle - pothole claim for Day, Carolyn",2023-07-19,2022-06-26,7BCE3BBB-B245-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003535,"Damage to vehicle - pothole claim for Nowicki, Victoria",2023-07-19,2023-03-15,B8067915-B345-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003536,"Damage to vehicle - pothole claim for Dent, Nichole M.",2023-07-19,2022-05-23,FFC2664B-B345-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003538,"Damage to vehicle - pothole claim for Oliva, Rosa",2023-07-19,2022-05-23,75B648B1-B345-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003539,"Damage to vehicle - pothole claim for Devens, Jennifer A.",2023-07-19,2023-05-24,119869DB-B345-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003540,"Damage to vehicle - pothole claim for Panarese, Joseph",2023-07-19,2023-04-19,4C162153-B445-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003541,"Damage to vehicle - pothole claim for DiNino, Kimberly S.",2023-07-19,2023-04-19,92571959-B445-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003543,"Damage to vehicle - pothole claim for Parham, Wayne",2023-07-19,2022-03-23,DF6A5BFB-B445-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003544,"Damage to vehicle - pothole claim for Donnella, Derrick J.",2023-07-19,2023-04-19,82C1A107-B545-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003545,"Damage to vehicle - pothole claim for Enessy, Yakubu S.",2023-07-19,2023-04-19,8DB4D391-B545-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003546,"Damage to vehicle - pothole claim for Parke, Natalie",2023-07-19,2023-04-19,4921D09D-B545-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003547,"Damage to vehicle - pothole claim for Fakhouri, Rami N.",2023-07-19,2023-04-19,0B967C1B-B645-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003548,"Damage to vehicle - pothole claim for Peterson, Gary",2023-07-19,2022-06-22,5A89D8BE-B645-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003549,"Damage to vehicle - pothole claim for Fridman, Ethan T.",2023-07-19,2023-04-19,4BCED9CA-B645-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003550,"Damage to vehicle - pothole claim for German, Charles A.",2023-07-19,2023-04-19,1DD4225B-B745-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003551,"Damage to vehicle - pothole claim for Philips, William",2023-07-19,2023-03-15,7477AF91-B745-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003552,"Damage to vehicle - pothole claim for Ging, Teresa S.",2023-07-19,2022-03-23,DAB94A05-B845-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003553,"Damage to vehicle - pothole claim for Prace, Vicki",2023-07-19,2023-04-19,785C8617-B845-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003554,"Damage to vehicle - pothole claim for Rodriguez, Joe",2023-07-19,2023-03-15,D6CAFCAD-B845-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003555,"Damage to vehicle - pothole claim for Golen, Rochelle S.",2023-07-19,2023-04-19,FF6D1FC0-B845-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003556,"Damage to vehicle - pothole claim for Sage, Morgan",2023-07-19,2023-02-01,23F4392D-B945-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003557,"Damage to vehicle - pothole claim for Green, Deanna F.",2023-07-19,2023-04-19,58A75C51-B945-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003558,"Damage to vehicle - pothole claim for Scott, Mary",2023-07-19,2023-04-19,18F742BE-B945-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003559,"Damage to vehicle - pothole claim for Guerrero, Nicolas",2023-07-19,2023-04-19,2FAE38CA-B945-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003560,"Damage to vehicle - pothole claim for Hemple, Amanda",2023-07-19,2023-04-19,28557849-BA45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003561,"Damage to vehicle - pothole claim for Shah, Deep",2023-07-19,2023-04-19,A3557849-BA45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003562,Damage to property claim for 1617-1623 W North Shore Condo Assn,2023-07-19,2022-12-14,29A5019E-BA45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003563,"Damage to vehicle - pothole claim for Steen, Kathryn",2023-07-19,2023-03-15,F36743B0-BA45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003564,"Damage to vehicle - pothole claim for Hindo, Fadi",2023-07-19,2023-04-19,701731C2-BA45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003565,"Damage to vehicle - pothole claim for Hong, Kevin K.",2023-07-19,2023-04-19,0C75983B-BB45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003566,"Damage to vehicle claim for Stevens, Doniece",2023-07-19,2022-12-14,72C4345A-BB45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003567,"Damage to vehicle - pothole claim for Huo, Ran",2023-07-19,2023-05-24,DDC33DB5-BB45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003569,"Damage to vehicle - pothole claim for Sutthisasanakul, Surachai",2023-07-19,2023-04-19,60BA5C64-BC45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003570,"Damage to vehicle - pothole claim for Jimenez, Jose L.",2023-07-19,2023-03-15,AFC0F5B9-BC45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003572,"Damage to vehicle - pothole claim for Johnson, Emeka O.",2023-07-19,2023-04-19,6F56DB5C-BD45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003573,"Damage to vehicle - pothole claim for Vihtelic, Colleen",2023-07-19,2023-04-19,DD0A01B8-BD45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003574,"Damage to vehicle - pothole claim for Karas, Madeline R.",2023-07-19,2023-03-15,886252D6-BD45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003575,"Damage to vehicle - pothole claim for Lemus, Rene",2023-07-19,2023-04-19,6A710C68-BE45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003577,"Damage to vehicle - pothole claim for Lin, Melissa J.",2023-07-19,2023-03-15,C2A62DE7-BE45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003578,"Damage to vehicle - pothole claim for Low, Quentin P.",2023-07-19,2023-01-18,4D34B989-BF45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003579,"Damage to vehicle claim for Allstate Ins and Washington, Mina",2023-07-19,2022-09-21,59CBE7B4-BF45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003581,"Damage to vehicle - pothole claim for Luckey, Kimberly A.",2023-07-19,2023-03-15,EC2B9533-C045-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003582,"Damage to vehicle - pothole claim for Mackenzie, Duncan G.",2023-07-19,2023-04-19,8CE523E3-C045-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003583,"Damage to vehicle - pothole claim for Malone-Harper, Latasha",2023-07-19,2022-09-21,C86875AB-C145-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003584,"Damage to vehicle - pothole claim for Marceau Taylor, Haley M.",2023-07-19,2023-04-19,C0290D62-C245-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003585,"Damage to vehicle - pothole claim for McClelland, Sophia E.",2023-07-19,2023-03-15,76DF3BF4-C245-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003586,"Damage to vehicle - pothole claim for Mok, Chung Z.",2023-07-19,2023-05-24,3B592E9D-C345-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003587,"Damage to vehicle - pothole claim for Moltz, Rachel N.",2023-07-19,2023-01-18,F2EABC53-C445-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003588,"Damage to vehicle - pothole claim for Morris, Devante L.",2023-07-19,2023-02-01,A2BE11EC-C445-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003589,"Damage to vehicle - pothole claim for Moss, Megan M.",2023-07-19,2023-03-15,7BA41941-C645-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003590,"Damage to vehicle - pothole claim for Mui, Amy",2023-07-19,2022-11-16,87B323BA-C645-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003591,"Damage to vehicle - pothole claim for Wakschlag, Shira",2023-07-19,2023-04-19,5F8564E8-C845-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003592,"Damage to vehicle - pothole claim for Arias, Jose",2023-07-19,2022-11-07,0082352B-C945-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003593,"Damage to vehicle - pothole claim for Wangerin, Adam",2023-07-19,2023-04-19,B8A823BD-C945-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003594,"Damage to vehicle - pothole claim for Weinberg, Jerome",2023-07-19,2023-04-19,2A16C6CD-CA45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003595,"Damage to vehicle claim for Bradberry, Heather",2023-07-19,2022-07-20,2DB6BBD9-CA45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003596,"Damage to vehicle - pothole claim for Weinberg, Jill",2023-07-19,2023-04-19,03764B58-CB45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003597,"Damage to vehicle - pothole claim for Wertheimer, Michael",2023-07-19,2022-04-27,8D276DF0-CB45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003598,"Damage to vehicle - pothole claim for Yoblon, Andrew",2023-07-19,2023-04-19,F737F98C-CC45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003599,"Damage to vehicle - pothole claim for Yust, Shannon",2023-09-14,2023-04-19,883CD771-CE45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003600,"Damage to vehicle claim for Torres, Margarita and Allstate Ins.",2023-07-19,2023-01-18,A6ACD980-CF45-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003602,"Damage to vehicle - pothole claim for Larson, Justin",2023-07-19,2022-06-22,7952F44C-D045-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003604,"Damage to vehicle - pothole claim for Kozlovsky, Mark and Gieco Ins.",2023-07-19,2023-03-15,12C72BEF-D045-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003606,"Damage to vehicle - pothole claim for Hsieh, James and State Farm",2023-07-19,2023-01-18,FE2E4AB5-D145-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003608,"Damage to vehicle - pothole claim for Armstrong, Tyrue and State Farm",2023-07-19,2023-03-15,41A95E8D-D245-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003609,"Damage to vehicle - pothole claim for Cappitelli, Robert J.",2023-07-19,2022-05-23,13F92114-D445-EE11-BE6D-001DD8097F7D,introduction after other action
CL2023-0003611,"Damage to vehicle - pothole claim for Coker, Fontaine S.",2023-07-19,2022-10-26,2053A40E-E345-EE11-BE6D-001DD8097F7D,introduction after other action
CL2023-0003615,"Damage to vehicle claim for Coler, Joseph G.",2023-07-19,2022-10-26,856E2C2A-6846-EE11-BE6D-001DD8097F7D,introduction after other action
CL2023-0003617,"Damage to property claim for Barwick, Brian A.",2023-06-21,2022-07-20,C2D09AE3-6C46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003618,"Damage to vehicle - pothole claim for Nardoni, Christianna",2023-06-21,2022-09-21,8C10A1F9-6C46-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003619,"Damage to property claim for Simmons, Tasha Y.",2023-06-21,2022-06-22,481EC798-6D46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003620,"Damage to vehicle claim for Navarrete, Maria",2023-06-21,2022-10-26,0A02E6B2-6D46-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003621,"Damage to property claim for Ziegler, Dale A.",2023-06-21,2022-12-14,B223061E-6E46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003622,"Damage to vehicle - pothole claim for O'Hare, Kevin",2023-06-21,2020-03-18,84908B8A-6E46-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003623,"Damage to vehicle claim for Ackerman, Martha H.",2023-06-21,2022-11-07,0D9B1B9C-6E46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003624,"Damage to vehicle - pothole claim for Olds, Erica",2023-06-21,2022-04-27,C0047D08-6F46-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003625,"Damage to vehicle - pothole claim for Addante, Anthony",2023-06-21,2023-03-15,2503AB08-6F46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003626,"Damage to vehicle - pothole claim for Anderson, Steven J.",2023-06-21,2022-12-14,96FB897A-6F46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003627,"Damage to vehicle - pothole claim for Patoli, Daneel",2023-06-21,2023-01-18,2DE6398C-6F46-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003628,"Damage to vehicle - pothole claim for Anderson, Timothy M.",2023-06-21,2022-04-27,7E0D6304-7046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003630,"Damage to vehicle - pothole claim for Paul, Rachael",2023-06-21,2022-04-27,959B2B76-7046-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003631,"Damage to vehicle claim for Ayssaoui, Asmaa E.",2023-06-21,2023-01-18,9D560289-7046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003632,"Damage to vehicle - pothole claim for Payton, Barbara",2023-06-21,2022-12-14,C5BD820C-7146-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003633,"Damage to vehicle - pothole claim for Baumgartner, William H., Jr.",2023-06-21,2023-03-15,E696DE13-7146-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003634,"Damage to vehicle - pothole claim for Penning, Lucas",2023-06-21,2022-09-21,5E006F96-7146-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003635,"Damage to vehicle - pothole claim for Bernstein, Josephine A.",2023-06-21,2023-03-15,52BD0794-7146-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003636,"Damage to vehicle - pothole claim for Bisceglie, Vanessa",2023-06-21,2022-11-16,09AE8107-7246-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003638,"Damage to vehicle - pothole claim for Perner, Emmet",2023-06-21,2023-02-01,F551AE80-7246-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003639,"Damage to vehicle - pothole claim for Borowski, David L.",2023-06-21,2023-04-19,7CE11693-7246-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003640,"Damage to vehicle - pothole claim for Chemello, Danielle V.",2023-06-21,2022-05-23,EB24C1FF-7246-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003641,"Damage to vehicle - pothole claim for Petergal, Emma",2023-06-21,2022-05-23,6FA3D210-7346-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003642,"Damage to vehicle - pothole claim for Cifuentes, Ruben M.",2023-06-21,2022-06-22,11E67F78-7346-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003643,"Damage to vehicle - pothole claim for Quintero, Rolando",2023-06-21,2022-04-27,1CDAE683-7346-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003645,"Damage to vehicle - pothole claim for Clark, Linda S.",2023-06-21,2023-02-01,E14691EA-7346-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003646,"Damage to vehicle - pothole claim for Cruz, Victor M.",2023-06-21,2023-04-19,EC8E8263-7446-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003647,"Damage to vehicle - pothole claim for Cruzado, Dante P.",2023-06-21,2022-09-21,A69594E1-7446-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003648,"Damage to vehicle - pothole claim for Daniels, Yvonne D.",2023-06-21,2022-09-21,D241F55F-7546-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003649,"Damage to vehicle - pothole claim for Dano, Rami R.",2023-06-21,2023-04-19,0675C3D9-7546-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003651,"Damage to vehicle - pothole claim for Davis, Lavell E.",2023-06-21,2022-09-21,83C9F951-7646-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003653,"Damage to vehicle - pothole claim for Day, Takako N.",2023-06-21,2023-03-15,138AEDC9-7646-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003654,"Damage to vehicle - pothole claim for DeCook, Jeffrey A.",2023-06-21,2023-02-01,AF17D231-7746-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003655,"Damage to vehicle - pothole claim for Rejai, Amy",2023-06-21,2022-07-20,CD6DD494-7746-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003656,"Damage to vehicle - pothole claim for Deveney, Elaine M.",2023-06-21,2023-04-19,685198A9-7746-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003658,"Damage to vehicle - pothole claim for Dunne, Therese",2023-06-21,2023-03-15,DE21970F-7846-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003659,"Damage to vehicle - pothole claim for Schneider, David",2023-06-21,2022-02-23,FE77672A-7846-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003660,"Damage to vehicle claim for Dye, Stephen C.",2023-06-21,2023-01-18,020B6B87-7846-EE11-BE6D-001DD80974AF,introduction after other action
