id,title
ocd-bill/f4d82d0c-a0f9-41de-9daf-1b25f7492588,Congratulations extended to Catherine Armstrong on 80th birthday
ocd-bill/fdfeca77-9a99-420b-a305-ea0cef9ff2c9,Handicapped Parking Permit No. 130801
ocd-bill/ffe97a49-1fbc-49ba-8791-c6164206f61a,Handicapped Parking Permit No. 130614
ocd-bill/6e7f9179-5802-48e6-aafe-6d75028d455a,Congratulations extended to Joann Spruiel on 80th birthday
ocd-bill/aceb7c7c-be93-4eb3-b266-28097373bd79,Handicapped Parking Permit No. 130900
ocd-bill/89dd01df-85f1-4445-8785-341e9d211e4c,Congratulations extended to Marion Valle on induction into Chicago Association of Realtors Hall of Fame
ocd-bill/f22e611f-5918-4e13-a35e-de58f2322713,Handicapped Parking Permit No. 130635
ocd-bill/8f7baba2-9f11-4c74-b349-8037f3ab76e6,Residential permit parking at 4500-4600 N Avers Ave - Zone No. 113 - amend
ocd-bill/37d88fd3-1c83-457d-8439-929acf6b3891,Handicapped Parking Permit No. 130893
ocd-bill/6a9d798e-4e88-4a01-b5a3-b9d565101031,Amendment of previously passed ordinance to designate new areas of 28th Precinct of 23rd Ward as Restricted Residential Zone prohibiting additional shared housing units and vacation rentals
ocd-bill/9ed57380-e731-4232-a3ed-403957ffeade,Zoning Reclassification Map No. 2-H at 301 S Damen Ave and 1801-1853 W Jackson Blvd - App No. 22206
ocd-bill/24a2bb1b-aae7-4264-848e-c41eb778530c,Handicapped Parking Permit No. 123523
ocd-bill/291b5d92-3f08-42b9-8055-b21d6683b08a,Amendment of previously passed ordinance to designate new areas of 30th Precinct of 23rd Ward as Restricted Residential Zone prohibiting additional shared housing units and vacation rentals
ocd-bill/89c54d08-6f83-472b-9ddc-0b770f99310d,"Damage to property claim for Hoskins, Leslie"
ocd-bill/b7e63be5-8574-4e52-a3b0-8e46968898e8,"Reappointment of Matthew L. Ruffi as member of Special Service Area No. 34, Uptown Commission"
ocd-bill/8f85836d-52d6-4bca-b1b0-8e8de4b4e01d,Handicapped Parking Permit No. 129806
ocd-bill/d93644a9-7822-4ef9-903c-1ccfff6b58db,Handicapped Parking Permit No. 101729 - remove
ocd-bill/373bd884-f2cd-4b99-b757-ba2e164a7d28,Exemption from physical barrier requirement for commercial driveway alley access for Oscar's Auto Glass LLC
ocd-bill/e12e8916-4f06-4f6c-8afb-37c9d5d29fef,Tow Zone at 2050 W Ogden Ave - public benefit
ocd-bill/d53ed399-e858-4aa3-9d86-d8984d2ea250,Handicapped Parking Permit No. 131208
ocd-bill/d020df6e-51e0-4a47-a4c4-2366892c3050,Zoning Reclassification Map No. 12-I at 2614 W 48th St and 4743 S Talman Ave - App No. 22170T1
ocd-bill/354d9dac-8562-488e-aa7e-61162b0aee18,Residential permit parking at 2024-2110 N Parkside Ave - even side
ocd-bill/dec5ee8e-f7ca-481d-ab6c-4335f31673f6,Traffic sign(s)/signal(s) at W Wolfram St and N Cicero Ave - Stop Sign
ocd-bill/aae513cd-8592-46ea-8866-bf782a762d87,"Damage to vehicle - pothole claim for Yoblon, Andrew"
ocd-bill/c67a0266-9c89-4035-a07f-46d5692a2afa,Designation of various precincts of 13th Ward as Restricted Residential Zone prohibiting additional shared housing units and vacation rentals
ocd-bill/91bfff10-2e1f-4bf3-a271-17db3ea85929,Handicapped Parking Permit No. 130970
ocd-bill/fa3d3d97-3b14-4f3b-8f06-536888dac0be,Handicapped Parking Permit No. 130376
ocd-bill/9173b75f-3852-4019-94e3-0b22147f757b,Zoning Reclassification Map No. 8-F at 3354 S Wallace St - App No. 22258T1
ocd-bill/b5864278-19a3-4162-bd62-ab6eccca1962,Handicapped Parking Permit No. 104618
ocd-bill/6edf2df5-0426-47fe-9168-eb201b64b883,Handicapped Parking Permit No. 129300
ocd-bill/d9362119-6280-4bd1-8406-ac1ad13a67e3,"Tribute to late Joseph Tomasko, Jr."
ocd-bill/0a3a44bb-6d3c-4b6e-951a-a6417930c124,Traffic direction at N Leavitt St from W Wilson St to W Ainslie St - One-Way northerly - amend
ocd-bill/b44e5055-5b54-4c44-af99-70aef64142f9,Congratulations extended to Cirilo Ortiz on 80th birthday
ocd-bill/d91b6874-2552-4ba3-b33b-a11b9f2a4224,Residential permit parking at 4100-4164 W Oakdale Ave
ocd-bill/ec8a3789-ae54-4b19-9f20-48186bc0c7cd,Traffic sign(s)/signal(s) at W 32nd St and Stewart Ave - All-Way Stop
ocd-bill/fd341571-ea69-4fc2-8415-0800066ad7a4,"Congratulations extended to Milton Pope, Sr. on 85th birthday"
ocd-bill/d5feedb3-aa8d-490e-a160-c292fec9f3c9,Congratulations extended to Isabel Mae Payne Giles on 95th birthday
ocd-bill/9b72a4b7-81a3-4a39-9206-4d3bf8969592,Handicapped Parking Permit No. 120280
ocd-bill/a482b95d-70c8-4e4f-b274-bcb14b354d9d,Handicapped Parking Permit No. 131501
ocd-bill/b30ebaac-865a-4c09-b895-926adb1c2977,Handicapped Parking Permit No. 125890
